Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1998,1,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,4,0.032,0.687735,-999,-999,-999,-999,-999,-999,-999
1998,1,5,0.3017,10.582245,-999,-999,-999,-999,-999,-999,-999
1998,1,6,0.1329,0.585684,-999,-999,-999,-999,-999,-999,-999
1998,1,7,0.0691,0.248472,-999,-999,-999,-999,-999,-999,-999
1998,1,8,0.0029,0,-999,-999,-999,-999,-999,-999,-999
1998,1,9,0.0004,0,-999,-999,-999,-999,-999,-999,-999
1998,1,10,0.0002,0,-999,-999,-999,-999,-999,-999,-999
1998,1,11,0.0002,0,-999,-999,-999,-999,-999,-999,-999
1998,1,12,0.0002,0,-999,-999,-999,-999,-999,-999,-999
1998,1,13,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,1,14,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,1,15,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1998,1,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,1,31,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,2,7,0,0,-999,-999,-999,-999,-999,-999,-999
