Year,Wyld(mm),Runoff(mm),QDR(mm),RESQ(mm),PET(mm),ET(mm),SW(mm),Sed(t/ha),QN(kg/ha),QP(kg/ha),OrgN(kg/ha),OrgP(kg/ha),QDRN(kg/ha),QDRP(kg/ha),RSD(t/ha),SoilTmp(C)
1998,-999,222.8,-999,-999,-999,-999,-999,0.4339,-999,-999,-999,-999,-999,-999,-999,-999
1999,-999,10.45,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,-999,147.9,-999,-999,-999,-999,-999,0.537,-999,-999,-999,-999,-999,-999,-999,-999
2001,-999,308.5,-999,-999,-999,-999,-999,1.536,-999,-999,-999,-999,-999,-999,-999,-999
2002,-999,203.5,-999,-999,-999,-999,-999,0.6831,-999,-999,-999,-999,-999,-999,-999,-999
2003,-999,117.4,-999,-999,-999,-999,-999,0.1569,-999,-999,-999,-999,-999,-999,-999,-999
2004,-999,461,-999,-999,-999,-999,-999,0.7072,-999,-999,-999,-999,-999,-999,-999,-999
2005,-999,127.3,-999,-999,-999,-999,-999,0.3871,-999,-999,-999,-999,-999,-999,-999,-999
2006,-999,40.77,-999,-999,-999,-999,-999,0.1142,-999,-999,-999,-999,-999,-999,-999,-999
2007,-999,516.6,-999,-999,-999,-999,-999,0.3055,-999,-999,-999,-999,-999,-999,-999,-999
